x generation elapsed_ms log10_p sat one_minus_r2_train one_minus_r2_val one_minus_r2_third
17120 17120 1757943 -1.346391441094e1 nan 6.231251973188e-6 8.925463248488e-7 7.477517705411e-3
17320 17320 1778236 -1.346391441094e1 nan 6.231251973188e-6 8.925463248488e-7 7.477517705411e-3
17520 17520 1799096 -1.346391441094e1 nan 6.231251973188e-6 8.925463248488e-7 7.477517705411e-3
17720 17720 1821253 -1.346391441094e1 nan 6.231251973188e-6 8.925463248488e-7 7.477517705411e-3
17920 17920 1840575 -1.346391441094e1 nan 6.231251973188e-6 8.925463248488e-7 7.477517705411e-3
18120 18120 1860202 -1.346391441094e1 nan 6.231251973188e-6 8.925463248488e-7 7.477517705411e-3
18320 18320 1880055 -1.346391441094e1 nan 6.231251973188e-6 8.925463248488e-7 7.477517705411e-3
18520 18520 1907841 -1.346391441094e1 nan 6.231251973188e-6 8.925463248488e-7 7.477517705411e-3
18720 18720 1933176 -1.346391441094e1 nan 6.231251973188e-6 8.925463248488e-7 7.477517705411e-3
18920 18920 1955845 -1.346391441094e1 nan 6.231251973188e-6 8.925463248488e-7 7.477517705411e-3
19120 19120 1974877 -1.346391441094e1 nan 6.231251973188e-6 8.925463248488e-7 7.477517705411e-3
19320 19320 1995303 -1.346391441094e1 nan 6.231251973188e-6 8.925463248488e-7 7.477517705411e-3
19520 19520 2015335 -1.346391441094e1 nan 6.231251973188e-6 8.925463248488e-7 7.477517705411e-3
19720 19720 2046472 -1.346391441094e1 nan 6.231251973188e-6 8.925463248488e-7 7.477517705411e-3
19920 19920 2067701 -1.346391441094e1 nan 6.231251973188e-6 8.925463248488e-7 7.477517705411e-3
20000 20000 2076565 -1.346391441094e1 nan 6.231251973188e-6 8.925463248488e-7 7.477517705411e-3
