x generation elapsed_ms log10_p sat one_minus_r2_train one_minus_r2_val one_minus_r2_third
2500 2500 80487 -1.297756361153e1 nan 9.631673492438e-6 3.416625258978e-5 1.160293817520e-2
2700 2700 86793 -1.297756361153e1 nan 9.631673492438e-6 3.416625258978e-5 1.160293817520e-2
2900 2900 93232 -1.297756361153e1 nan 9.631673492438e-6 3.416625258978e-5 1.160293817520e-2
3020 3020 97052 -1.307179816664e1 nan 1.021739626605e-5 5.590076852968e-6 1.022655982524e-2
3060 3060 98365 -1.308544784768e1 nan 1.341985444003e-5 2.670245157799e-5 1.018951833248e-2
3180 3180 102194 -1.308712628518e1 nan 1.904651071516e-5 6.187977760419e-6 1.018704660237e-2
3220 3220 103537 -1.309892365964e1 nan 1.438303115719e-5 5.350913397595e-6 1.020047068596e-2
3420 3420 110032 -1.310005149541e1 nan 1.438303115719e-5 5.350913397595e-6 1.018750946969e-2
3620 3620 116592 -1.310005149541e1 nan 1.438303115719e-5 5.350913397595e-6 1.018750946969e-2
3820 3820 122917 -1.310005149541e1 nan 1.438303115719e-5 5.350913397595e-6 1.018750946969e-2
4020 4020 129420 -1.310005149541e1 nan 1.438303115719e-5 5.350913397595e-6 1.018750946969e-2
4220 4220 135937 -1.311762579268e1 nan 2.320784187759e-5 1.101501038636e-5 1.014161203057e-2
4260 4260 137257 -1.312047667781e1 nan 2.011831747961e-5 1.389739736624e-5 1.014246605337e-2
4300 4300 138594 -1.312304721730e1 nan 1.901462383103e-5 1.477370187797e-5 1.013583317399e-2
4340 4340 139785 -1.312705266847e1 nan 1.908568810904e-5 1.165810863324e-5 1.014925912023e-2
4540 4540 146129 -1.313451621815e1 nan 1.540375887998e-5 9.395160304848e-6 1.013766881078e-2
4700 4700 151284 -1.314056777059e1 nan 1.597584923718e-5 9.835834134830e-6 1.013738010079e-2
4740 4740 152559 -1.314143396811e1 nan 1.640051596041e-5 9.617849173194e-6 1.013669651002e-2
4780 4780 153848 -1.314983072265e1 nan 6.868899799883e-5 9.038296411634e-6 9.508899413049e-3
4980 4980 160212 -1.315041115976e1 nan 6.911717355240e-5 8.980876373244e-6 9.511673822999e-3
5020 5020 161486 -1.320347100299e1 nan 7.097548223101e-5 2.587892959116e-5 9.241156280041e-3
5220 5220 167750 -1.320586765299e1 nan 7.033671863599e-5 2.599850267881e-5 9.242478758097e-3
5260 5260 168989 -1.321578706270e1 nan 6.854550156277e-5 4.478732807922e-5 9.175879880786e-3
5460 5460 175359 -1.321578706270e1 nan 6.854550156277e-5 4.478732807922e-5 9.175879880786e-3
5660 5660 181681 -1.321578706270e1 nan 6.854550156277e-5 4.478732807922e-5 9.175879880786e-3
5860 5860 187933 -1.321578706270e1 nan 6.854550156277e-5 4.478732807922e-5 9.175879880786e-3
6060 6060 194412 -1.321578706270e1 nan 6.854550156277e-5 4.478732807922e-5 9.175879880786e-3
6260 6260 200790 -1.322061735972e1 nan 6.533321720781e-5 4.056346733705e-5 9.176005609334e-3
6460 6460 207122 -1.322061735972e1 nan 6.533321720781e-5 4.056346733705e-5 9.176005609334e-3
6660 6660 213459 -1.322091972373e1 nan 6.537759327319e-5 4.071595685684e-5 9.176688268781e-3
